0.803116	0.798519	0.807673	0.800610
0.800665	0.805095	0.802214	0.798607
0.799022	0.802436	0.802320	0.805227
0.792499	0.798985	0.796024	0.801392
0.796715	0.798943	0.802948	0.799454
0.800374	0.805635	0.799982	0.806345
0.791700	0.798097	0.795892	0.796524
0.796218	0.796489	0.803907	0.808917
0.804509	0.804959	0.804044	0.803636
0.795303	0.797842	0.802500	0.803007
0.801119	0.807615	0.801185	0.798686
0.800173	0.799730	0.799178	0.796167
0.804555	0.804826	0.807560	0.799864
0.793536	0.792892	0.808217	0.802727
0.797835	0.795367	0.799118	0.801063
0.794190	0.801670	0.805749	0.803898
0.799332	0.799726	0.797666	0.798545
0.798214	0.806692	0.803129	0.801608
0.798920	0.803038	0.799037	0.801354
0.803758	0.795001	0.804358	0.797879
0.807957	0.803256	0.803126	0.803568
0.800738	0.801564	0.803988	0.802106
0.797965	0.802276	0.800461	0.803275
0.801627	0.797199	0.798273	0.797210
0.801172	0.802229	0.798174	0.803079
0.802032	0.805575	0.799361	0.806452
0.801136	0.805722	0.803872	0.795101
0.800152	0.803554	0.801657	0.805651
0.801840	0.799943	0.801309	0.799674
0.801849	0.804258	0.808304	0.810906
0.802646	0.803846	0.805349	0.801744
0.802110	0.800900	0.800301	0.801394
0.797749	0.796957	0.801472	0.792001
0.801764	0.805041	0.803384	0.799819
0.800127	0.804408	0.794457	0.798454
0.793914	0.801495	0.801430	0.799431
0.797938	0.795652	0.799928	0.798614
0.799454	0.804064	0.798507	0.800929
0.795261	0.800251	0.800899	0.799390
0.800532	0.805741	0.799567	0.801628
0.794913	0.798722	0.805075	0.797104
0.803213	0.800212	0.797098	0.797360
0.801488	0.793843	0.801488	0.793843
0.801190	0.801960	0.791347	0.790501
0.798878	0.794021	0.801173	0.791609
0.798915	0.800438	0.796068	0.794167
0.803672	0.799479	0.803672	0.799479
0.797414	0.804402	0.806662	0.798595
0.805650	0.805872	0.800585	0.794332
0.798663	0.801420	0.798913	0.795201
0.806625	0.797445	0.796497	0.796114
0.799479	0.797337	0.799312	0.798852
0.798964	0.802835	0.795435	0.799813
0.799107	0.802493	0.802914	0.794949
0.800459	0.804001	0.797745	0.799748
0.796370	0.805059	0.800456	0.794750
0.801792	0.807925	0.805767	0.800786
0.804372	0.798454	0.791484	0.799697
0.799427	0.798088	0.800516	0.799301
0.798036	0.807401	0.800884	0.794399
0.800501	0.792197	0.800501	0.792197
0.795777	0.797709	0.797955	0.798105
0.802462	0.803795	0.806769	0.809779
0.807555	0.804545	0.810133	0.806124
0.798919	0.799079	0.792186	0.796911
0.800852	0.799662	0.800234	0.800002
0.804085	0.803647	0.799930	0.799157
0.808837	0.809861	0.799330	0.799672
0.798603	0.799855	0.803417	0.807300
0.805938	0.801628	0.807197	0.800820
0.805021	0.806276	0.804946	0.804973
0.799605	0.806118	0.806141	0.803522
0.801481	0.800427	0.801576	0.801550
0.796442	0.808461	0.803759	0.798478
0.799363	0.798618	0.784685	0.792628
0.807724	0.808068	0.803268	0.801088
0.796625	0.805541	0.799434	0.800142
0.798746	0.793984	0.791397	0.793307
0.805585	0.797702	0.801317	0.796062
0.796424	0.798104	0.808321	0.802408
0.795192	0.799140	0.798905	0.796733
0.799677	0.802218	0.806602	0.803225
0.805581	0.810253	0.799969	0.805455
0.803386	0.800368	0.801818	0.796834
0.799379	0.792084	0.795004	0.792877
0.797325	0.808397	0.795023	0.799637
0.797092	0.802983	0.803849	0.799162
0.797639	0.797019	0.798320	0.789033
0.794989	0.793895	0.795223	0.799398
0.799126	0.808965	0.802351	0.798716
0.801655	0.805774	0.800216	0.795350
0.799920	0.795594	0.805304	0.800496
0.796946	0.796230	0.801592	0.807471
0.794664	0.794878	0.798559	0.795015
0.804169	0.804610	0.798287	0.800648
0.800135	0.806606	0.811040	0.802865
0.800527	0.803366	0.806156	0.804823
0.800057	0.795933	0.800057	0.795933
0.799973	0.798187	0.795228	0.797042
0.792916	0.797994	0.802253	0.795087
0.798545	0.796669	0.800081	0.800199
0.801275	0.804081	0.802378	0.801975
0.801496	0.804774	0.803959	0.808184
0.806039	0.811057	0.809325	0.802507
0.796898	0.791767	0.794498	0.795399
0.801793	0.801233	0.798387	0.796411
0.798957	0.802138	0.802589	0.800126
0.800077	0.801211	0.797434	0.804798
0.798426	0.802297	0.799765	0.792844
0.795938	0.795285	0.799917	0.794144
0.800875	0.800135	0.792419	0.794386
0.801589	0.807704	0.796233	0.793147
0.796724	0.799140	0.800910	0.800680
0.791674	0.793187	0.800018	0.797514
0.803672	0.805417	0.808021	0.803896
0.805614	0.806682	0.803874	0.805513
0.798703	0.808005	0.801915	0.801812
0.803113	0.802426	0.807785	0.805637
0.797320	0.794919	0.797320	0.794919
0.798594	0.795492	0.794956	0.797745
0.799698	0.807036	0.797317	0.803894
0.802961	0.795858	0.803793	0.802791
0.801178	0.799767	0.806677	0.800266
0.800287	0.796375	0.801516	0.798187
0.802574	0.801474	0.801860	0.795228
0.794752	0.799623	0.800676	0.802632
0.806632	0.810604	0.809236	0.808792
0.801352	0.805337	0.802608	0.797462
0.800659	0.799398	0.805379	0.795953
0.806848	0.803021	0.805425	0.800989
0.803255	0.807501	0.804619	0.801273
0.797500	0.801380	0.804690	0.801802
0.801592	0.796500	0.800339	0.797682
0.794799	0.797236	0.794799	0.797236
0.796209	0.801271	0.801515	0.795846
0.796686	0.798248	0.800634	0.801124
0.806067	0.807108	0.799986	0.804323
0.799747	0.806561	0.796673	0.809285
0.794095	0.805377	0.797603	0.797601
0.800682	0.799114	0.798671	0.796100
0.801987	0.806194	0.796329	0.797967
0.798732	0.796851	0.797173	0.798747
0.805151	0.803155	0.800485	0.802330
0.804695	0.810105	0.809899	0.799794
0.795356	0.796462	0.803728	0.800522
0.793858	0.791381	0.793858	0.791381
0.805875	0.807551	0.801905	0.799631
0.805568	0.803927	0.800979	0.802280
0.803944	0.800917	0.805825	0.813912
0.804334	0.801283	0.802912	0.803315
0.797233	0.801156	0.797135	0.793044
0.803682	0.795648	0.803564	0.795943
0.805437	0.803293	0.803945	0.795036
0.797660	0.805349	0.793070	0.799936
0.791336	0.797858	0.805373	0.801472
0.803050	0.798309	0.808025	0.806770
0.795019	0.798399	0.799162	0.803526
0.801815	0.799790	0.807060	0.801405
0.800908	0.802699	0.797438	0.806518
0.797775	0.796662	0.802888	0.800040
0.802240	0.803123	0.802848	0.803134
0.803402	0.806436	0.799770	0.802734
0.801021	0.799542	0.794695	0.802650
0.800932	0.801158	0.807147	0.807492
0.797576	0.804169	0.797828	0.799051
0.798687	0.798762	0.814777	0.809813
0.796576	0.802075	0.791044	0.802195
0.799416	0.800789	0.802627	0.799046
0.795142	0.807960	0.798353	0.800150
0.801684	0.805348	0.803872	0.812716
0.790073	0.795213	0.803612	0.801234
0.803725	0.799409	0.807412	0.805131
0.802069	0.801035	0.798808	0.793847
0.796087	0.791724	0.799305	0.793809
0.796365	0.795633	0.797004	0.796925
0.804102	0.806647	0.802742	0.802810
0.794801	0.799081	0.797149	0.795626
0.805091	0.794491	0.806839	0.798405
0.802443	0.802883	0.797254	0.798729
0.800052	0.807254	0.794204	0.802483
0.798653	0.794916	0.800674	0.800339
0.793956	0.797449	0.792941	0.799042
0.796791	0.800143	0.798423	0.791290
0.802904	0.794683	0.797236	0.798783
0.803548	0.810070	0.799327	0.809169
0.800401	0.800235	0.802209	0.802012
0.796113	0.802881	0.798259	0.796761
0.795623	0.803123	0.797578	0.804025
0.800346	0.802720	0.800582	0.796965
0.803097	0.807608	0.803401	0.805905
0.795492	0.802233	0.796252	0.792300
0.797106	0.801852	0.798358	0.799012
0.798642	0.796767	0.804380	0.797531
0.802387	0.803468	0.801851	0.799123
0.800553	0.796354	0.803525	0.804568
0.801032	0.798538	0.801675	0.797605
0.802338	0.800344	0.806033	0.800987
0.801273	0.796249	0.805844	0.803025
0.796456	0.801748	0.801376	0.805875
0.798328	0.803085	0.800221	0.798616
0.796401	0.802171	0.802577	0.798647
0.802516	0.798929	0.807884	0.803062
0.808389	0.810654	0.800402	0.803220
0.803063	0.806943	0.806209	0.801567
0.798227	0.795181	0.801171	0.799112
0.800716	0.803332	0.801271	0.797964
0.797935	0.804987	0.796261	0.799260
0.798460	0.798200	0.810164	0.798282
0.794330	0.797253	0.804328	0.799039
0.802293	0.803578	0.802016	0.800758
0.801386	0.806596	0.808031	0.801258
0.790542	0.797173	0.801229	0.797966
0.793191	0.799319	0.799652	0.800670
0.800643	0.800529	0.797147	0.803727
0.803145	0.807114	0.804164	0.798276
0.807595	0.801926	0.802627	0.800548
0.796079	0.804355	0.799401	0.800739
0.811058	0.809314	0.805927	0.809923
0.799328	0.798161	0.802652	0.802982
0.804283	0.803109	0.798048	0.794333
0.800828	0.801646	0.802125	0.796111
0.804122	0.804493	0.796921	0.793562
0.796651	0.799168	0.796927	0.794401
0.799015	0.798058	0.802392	0.800359
0.800390	0.799914	0.796356	0.801253
0.795186	0.798416	0.790977	0.797570
0.794805	0.794548	0.795217	0.794352
0.803467	0.798273	0.804480	0.796114
0.800765	0.802522	0.797953	0.793155
0.801785	0.808079	0.801794	0.803320
0.802793	0.804089	0.804015	0.802069
0.799606	0.800405	0.794665	0.803159
0.797488	0.800794	0.804247	0.801472
0.797838	0.800518	0.800812	0.797011
0.795540	0.804550	0.801201	0.799208
0.792279	0.799949	0.801613	0.799752
0.795839	0.795595	0.791137	0.786181
0.795897	0.801361	0.801077	0.801931
0.798569	0.798388	0.798569	0.798388
0.801619	0.799758	0.797409	0.797028
0.797948	0.799785	0.799859	0.801723
0.796786	0.801636	0.802387	0.799256
0.802764	0.808096	0.802362	0.802280
0.801445	0.803061	0.801065	0.803639
0.801434	0.800111	0.801372	0.807396
0.799325	0.802837	0.803122	0.794390
0.804362	0.803635	0.804362	0.803635
0.794502	0.795315	0.803537	0.802246
0.806586	0.811083	0.805217	0.805836
0.799666	0.801006	0.808295	0.800530
0.807382	0.806198	0.799656	0.795810
0.796822	0.800963	0.800314	0.797181
0.802006	0.799695	0.798461	0.799681
0.803198	0.799052	0.802983	0.799079
0.795958	0.799755	0.801052	0.802301
0.798953	0.800267	0.794862	0.795496
0.801992	0.799683	0.799154	0.804194
0.803142	0.797052	0.807797	0.802938
0.803732	0.797148	0.801475	0.803686
0.801748	0.809263	0.804168	0.800508
0.805111	0.806337	0.806879	0.804500
0.795447	0.797085	0.799065	0.801648
0.802550	0.806524	0.797191	0.796984
0.795098	0.801472	0.803664	0.805552
0.796924	0.799047	0.808677	0.797610
0.799685	0.805088	0.808718	0.802651
0.804112	0.800825	0.804112	0.800825
0.798371	0.797940	0.793796	0.796752
0.792296	0.799695	0.792500	0.794854
0.798846	0.794722	0.798664	0.794742
0.802847	0.800314	0.801754	0.794588
0.801667	0.807375	0.804542	0.805994
0.803651	0.799354	0.802284	0.797571
0.796556	0.803450	0.799006	0.801541
0.802084	0.798491	0.802904	0.802166
0.805569	0.808923	0.804848	0.799266
0.797612	0.795377	0.798774	0.793991
0.796347	0.801835	0.797657	0.796569
0.801674	0.798202	0.797615	0.809740
0.805022	0.808494	0.806882	0.811256
0.800745	0.806580	0.804425	0.800267
0.793399	0.795005	0.797219	0.797884
0.800328	0.799346	0.806056	0.806094
0.801489	0.800693	0.801003	0.800556
0.795790	0.795864	0.801767	0.799010
0.799321	0.802509	0.796718	0.797931
0.810891	0.804773	0.803155	0.799508
0.806675	0.808994	0.797225	0.795782
0.797444	0.801792	0.804002	0.803065
0.800591	0.805531	0.802507	0.803681
0.805591	0.801378	0.804701	0.805721
0.803405	0.806333	0.800536	0.804129
0.805865	0.801462	0.804339	0.800771
0.804934	0.799007	0.804934	0.799007
0.803269	0.803487	0.800316	0.799645
0.793378	0.798710	0.796948	0.794739
0.796170	0.795329	0.794356	0.795453
0.805438	0.804663	0.801806	0.798484
0.805415	0.802208	0.801289	0.801532
0.804329	0.804833	0.801362	0.800553
0.802275	0.806859	0.799897	0.802228
0.801280	0.801870	0.798185	0.799603
0.799998	0.796453	0.802125	0.801087
0.802053	0.800391	0.799628	0.792950
0.800126	0.800374	0.795633	0.798570
0.799989	0.804808	0.797577	0.800839
0.805464	0.807496	0.798955	0.802762
0.798530	0.788157	0.797462	0.788757
0.804468	0.804585	0.804085	0.793547
0.799562	0.799466	0.798213	0.797099
0.801926	0.799133	0.803431	0.797363
0.801748	0.801009	0.803786	0.801769
0.800877	0.796111	0.798892	0.801605
0.794510	0.800979	0.796815	0.799639
0.799855	0.803613	0.809173	0.808646
0.798495	0.798462	0.798495	0.798462
0.791583	0.801377	0.803660	0.797151
0.801154	0.798350	0.801835	0.799417
0.795583	0.799434	0.797632	0.797645
0.803527	0.804002	0.799091	0.797781
0.805673	0.810367	0.805741	0.802493
0.805135	0.802238	0.799654	0.792523
0.800987	0.808978	0.804642	0.803182
0.790953	0.799972	0.804421	0.807293
0.801043	0.797073	0.801043	0.797073
0.796196	0.799024	0.796196	0.799024
0.804470	0.794944	0.797643	0.795184
0.797419	0.806847	0.803412	0.807438
0.802145	0.800430	0.807071	0.803035
0.802489	0.801940	0.805592	0.798796
0.802322	0.799077	0.804973	0.801815
0.801102	0.806406	0.799358	0.805468
0.798590	0.805169	0.796365	0.800296
0.801718	0.805503	0.808048	0.807099
0.793047	0.800834	0.805793	0.799160
0.795832	0.799379	0.798660	0.795609
0.806843	0.806706	0.799982	0.795495
0.798020	0.802861	0.801228	0.801872
0.805613	0.804677	0.811057	0.805727
0.802526	0.807553	0.799668	0.802870
0.805069	0.796267	0.812882	0.801897
0.810278	0.806609	0.802182	0.799194
0.805240	0.806628	0.800044	0.800940
0.797882	0.799153	0.801469	0.799112
0.799024	0.796361	0.800107	0.796573
0.797914	0.798997	0.805856	0.798589
0.800007	0.796634	0.799908	0.796871
0.799364	0.800856	0.805556	0.804578
0.796734	0.803139	0.804983	0.792517
0.794872	0.806087	0.800900	0.802013
0.803771	0.806453	0.808617	0.811501
0.794601	0.799801	0.806731	0.796978
0.799372	0.797664	0.796497	0.805424
0.794865	0.791639	0.796553	0.796495
0.794435	0.800244	0.797245	0.793781
0.795156	0.801968	0.812866	0.804248
0.803209	0.810429	0.796987	0.794549
0.796642	0.804129	0.799215	0.802077
0.801614	0.802606	0.803115	0.799587
0.800571	0.804777	0.800571	0.804777
0.795807	0.805916	0.801018	0.803112
0.792284	0.793739	0.794185	0.792105
0.800508	0.798453	0.802398	0.796108
0.798078	0.800060	0.805285	0.803105
0.797826	0.802134	0.801491	0.802869
0.804942	0.805980	0.796531	0.801619
0.804477	0.806186	0.799980	0.799049
0.796294	0.796692	0.797128	0.797072
0.806367	0.809766	0.800170	0.801017
0.799849	0.800293	0.795717	0.797931
0.796688	0.802592	0.803913	0.799333
0.802809	0.800821	0.797523	0.807121
0.799587	0.797159	0.794226	0.804908
0.799433	0.801383	0.800399	0.803955
0.797513	0.803041	0.800375	0.797500
0.801111	0.804882	0.795838	0.795929
0.799498	0.796196	0.802434	0.798582
0.803020	0.803874	0.787617	0.786145
0.797872	0.796035	0.800256	0.796859
0.803673	0.801205	0.804150	0.802519
0.793911	0.801366	0.793691	0.796001
0.800753	0.799605	0.800753	0.799605
0.807689	0.807221	0.792668	0.784587
0.804578	0.797714	0.801517	0.797345
0.800856	0.795362	0.795784	0.794681
0.800613	0.799392	0.800025	0.801914
