2.000000000000000000e+00 1.178625290238759504e-01 3.651323658589604448e-03 7.988070127867850090e-01 3.340774529377149582e-01
2.500000000000000000e+00 1.961340895451635369e-01 4.213425936573829585e-03 8.070187811542702816e-01 3.687075222771296068e-01
3.000000000000000000e+00 2.642254330787912053e-01 5.294654760673995347e-03 8.038258134241363928e-01 4.689317232719069084e-01
3.500000000000000000e+00 3.135147355200122998e-01 5.869745636185228627e-03 8.050921808680683300e-01 5.042225108970257441e-01
4.000000000000000000e+00 3.881685004893071778e-01 6.800710234033855404e-03 8.047618610067156508e-01 5.901584887086990250e-01
4.500000000000000000e+00 4.244528303343367837e-01 7.385995696292812704e-03 8.048161105552468220e-01 6.300952963070937107e-01
5.000000000000000000e+00 4.877143227502878098e-01 8.308095335466392228e-03 8.049578247429067801e-01 7.115975034766947038e-01
5.500000000000000000e+00 5.249708716696428468e-01 9.002925543516096876e-03 8.048717623042505043e-01 7.647022542498251862e-01
6.000000000000000000e+00 5.673068543321413415e-01 9.806695602215613136e-03 8.049578446716967317e-01 8.311087163973079894e-01
6.500000000000000000e+00 6.173165444332969765e-01 1.065238483379763075e-02 8.049290145862024737e-01 8.990737963210796435e-01
7.000000000000000000e+00 6.431106140170030905e-01 1.149088176648300867e-02 8.049464810436970374e-01 9.628202429173927657e-01
7.500000000000000000e+00 6.590093984624539880e-01 1.210712004921308919e-02 8.049409858532272644e-01 1.018215540935823782e+00
8.000000000000000000e+00 6.897549683756096783e-01 1.292903797448598409e-02 8.049448739447795376e-01 1.082756903227382272e+00
8.500000000000000000e+00 6.878117554077362028e-01 1.368561860316831573e-02 8.049274186550976484e-01 1.144764263638669677e+00
9.000000000000000000e+00 7.113754313995701573e-01 1.453818288778801517e-02 8.049389617826226972e-01 1.211874646448079629e+00
9.500000000000000000e+00 7.250886574669686002e-01 1.526768518372635143e-02 8.049266504384833265e-01 1.270995480704952163e+00
1.000000000000000000e+01 7.356163539234739090e-01 1.625554177553335117e-02 8.049197642555951937e-01 1.343837827114072070e+00
1.050000000000000000e+01 7.495308992572169426e-01 1.716274766071769833e-02 8.049199947770451224e-01 1.412642340559324472e+00
1.100000000000000000e+01 7.417714664734691432e-01 1.811963562831242144e-02 8.049269883636841483e-01 1.480187601297529465e+00
1.150000000000000000e+01 7.464089412546587310e-01 1.881026027447360929e-02 8.049226828686841806e-01 1.535061642822348915e+00
1.200000000000000000e+01 7.430161161523400892e-01 1.981030602579813074e-02 8.049288122497998410e-01 1.603037666641653258e+00
1.250000000000000000e+01 7.483133190843566096e-01 2.042766847579392808e-02 8.049268223582429771e-01 1.651142699996408725e+00
1.300000000000000000e+01 7.552634273812159904e-01 2.153802356515031532e-02 8.049417913444579797e-01 1.719293849156175114e+00
1.350000000000000000e+01 7.379815943600385175e-01 2.223461607510099011e-02 8.049313063500753707e-01 1.767189765430390747e+00
1.400000000000000000e+01 7.584725933676317311e-01 2.309404601850944053e-02 8.049400776618530484e-01 1.824328242946796186e+00
1.450000000000000000e+01 7.379967716726881788e-01 2.392726762729388557e-02 8.049419575715283104e-01 1.874947072763934797e+00
1.500000000000000000e+01 7.583377170050309424e-01 2.463977278925536668e-02 8.049383205326945401e-01 1.921563250079784124e+00
1.550000000000000000e+01 7.294224689364551262e-01 2.560887719151011196e-02 8.049500373245956908e-01 1.977014232193675447e+00
1.600000000000000000e+01 7.286978425787538072e-01 2.647471993546310007e-02 8.049458805099394265e-01 2.030623111465595709e+00
1.650000000000000000e+01 7.284320199848443034e-01 2.737973210836123356e-02 8.049580149416909469e-01 2.081401182788739312e+00
1.700000000000000000e+01 7.226879583358627457e-01 2.820051653556911869e-02 8.049598228697897317e-01 2.127495036013866692e+00
1.750000000000000000e+01 7.291821386551322615e-01 2.886146528561377156e-02 8.049675731142642565e-01 2.163532954995656343e+00
1.800000000000000000e+01 7.060565005516021841e-01 2.976173292407358409e-02 8.049725004541326001e-01 2.211391013515466852e+00
1.850000000000000000e+01 7.227710721912173897e-01 3.077304541288243891e-02 8.049865411710537266e-01 2.259241720311724322e+00
1.900000000000000000e+01 7.243839240725655770e-01 3.168753662031938145e-02 8.049887859867652651e-01 2.304604435121881956e+00
1.950000000000000000e+01 7.206147417324423321e-01 3.212423169775275450e-02 8.050048889679152220e-01 2.324553670122986304e+00
2.000000000000000000e+01 7.233509933357140653e-01 3.312488069765050225e-02 8.050047636100851056e-01 2.369768629232546164e+00
